Page,Template,Prompt
Cover,Cover,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1], [Ref: REF_IMG_2], [Ref: REF_IMG_3]

**[Heading]**
- Chapter Title: Agent — Your Thinking Assistant

**[Visual Direction]**
A high-quality, comic-style cover art. In the center, [Ref: REF_IMG_1] (Alex) and [Ref: REF_IMG_3] (David) are looking at a holographic projection coming from a laptop screen. The projection shows a stylized 'Brain' icon or a flowchart node connecting to a terminal window, representing the 'Agent' thinking process. [Ref: REF_IMG_2] (Cursor) is wearing a detective hat or a headset, looking like a helpful assistant orchestrating the flow. The background is a modern tech workspace with a blue digital overlay.

**[Target Text]**
Chapter 8: Agent — Your Thinking Assistant
Learn Cursor IDE: The Visual Guide to AI-Powered Development"
Page 1,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1]

**[Heading]**
- Section: Opening Scene

**[Visual Direction]**
Panel 1: [Ref: REF_IMG_1] (Alex) is sitting at his desk, typing into his laptop. A close-up of the screen shows a terminal command `python log.py --day 2025-12-31`. The output is empty.
Panel 2: Alex looks annoyed. He leans back in his chair, thinking. A thought bubble shows a checklist: ""1. Fix code, 2. Run terminal, 3. Check output...""
Panel 3: Alex looks at the code on screen. He sighs, realizing the tedium of manual updates.

**[Target Text]**
Panel 1 Caption: Alex's Apartment. Working on the `daily_log` project.
Alex (Thinking): I ran the command for a future date, but nothing showed up.
Panel 2 Alex (Thinking): I want it to say 'No log for that day'. But fixing, testing, and confirming requires so many steps...
Panel 3 Alex (Thinking): I have to handle the logic for 0 lines... Fixing, running, and confirming manually is such a pain."
Page 2,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1], [Ref: REF_IMG_3]

**[Heading]**
- Section: Opening Scene (Continued)

**[Visual Direction]**
Panel 1: [Ref: REF_IMG_1] (Alex) recalls a memory of Chapter 5. A small flashback bubble shows the word ""Agent"".
Panel 2: [Ref: REF_IMG_3] (David) appears on a video call window on Alex's screen. He looks calm and helpful.
Panel 3: Split screen. Alex looks excited while David explains. David gestures with a finger raised.

**[Target Text]**
Panel 1 Alex (Thinking): ""I used Agent briefly in Chapter 5, and it was mentioned that it can handle **multi-step tasks**. Can I let Agent handle this?""

Panel 2 David: ""Let **Agent** handle that. If you instruct it to 'fix the `--day` feature to display "No log for that day" when there are 0 matching lines, and test and verify it'.""
Panel 2 David: ""Agent will **think step by step and do fix → run → verify** for you.""
Panel 2 Alex: ""I can let it handle multiple steps together. I want to try it.""
Page 3,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2]

**[Heading]**
- Section: Chapter Overview

**[Visual Direction]**
An infographic comparing ""The Problem"" vs ""The Solution"".
Top half (Problem): A stick figure (representing a tired dev) running back and forth between ""Code Editor"", ""Terminal"", and ""Browser"". Arrows are tangled. Label: ""Manual Multi-Step Tasks"".
Bottom half (Solution): [Ref: REF_IMG_2] (Cursor) sitting at a control panel. It has a thought bubble: ""Step 1... Step 2... Step 3..."". A straight, clean arrow points to ""Done"". Label: ""Agent Mode"".

**[Target Text]**
**The Problem:**
Manually doing multi-step tasks (Fix → Run → Verify) is tedious and prone to errors.

**The Solution:**
Instruct Agent to ""fix, test, and verify"".
Agent thinks step-by-step and executes commands automatically.

**What you'll learn:**
- How Agent thinks and acts
- Automating bug fixes & testing
- Checking the thinking process"
Page 4,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1], [Ref: REF_IMG_3]

**[Heading]**
- Section: 8.1 The Problem—""Manually Doing Multi-Step Tasks is Tedious""

**[Visual Direction]**
Panel 1: [Ref: REF_IMG_3] (David) is explaining via the screen. He holds up one hand.
Panel 2: [Ref: REF_IMG_1] (Alex) nods in agreement, looking at his messy terminal history.
Panel 3: David leans in closer to the camera. He emphasizes the ""Thinking Process"".

**[Target Text]**
Panel 1 David: If you're just writing code, Normal mode is fine. But for **fix → run → check → fix again**, doing it manually takes time.
Panel 2 Alex: Exactly. I hate switching context constantly. Does Agent really do all that automatically?
Panel 3 David: Yes. Agent **thinks step by step**. It lists its plan: 'Step 1: fix code', 'Step 2: run terminal'. You can see exactly **what it's doing**."
Page 5,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2]

**[Heading]**
- Section: 8.1 Summary

**[Visual Direction]**
A checklist style infographic titled ""When to use Agent?"".
Left column has Green Checks for ""Agent Tasks"". Right column has Red Crosses/Warning for ""Normal Mode Tasks"".
[Ref: REF_IMG_2] (Cursor) is giving a thumbs up next to the Agent list.

**[Target Text]**
**Tasks Agent is Suited For:**
✅ Bug fixes + Test execution
✅ Code generation + Verification
✅ Changes across multiple files + Tests

**Tasks for Normal Mode:**
❌ Large design changes (Better to review proposals carefully)
❌ Simple one-line edits

**Why Agent?**
It saves you from the tedious loop of ""Edit code"" → ""Type command"" → ""Check output""."
Page 6,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1], [Ref: REF_IMG_3]

**[Heading]**
- Section: 8.2 How Agent Thinks and Acts

**[Visual Direction]**
Panel 1: [Ref: REF_IMG_3] (David) pointing to the top of the Composer window.
Panel 2: Close-up of [Ref: REF_IMG_1] (Alex)'s hand on the mouse, clicking the ""Agent"" button in the UI.
Panel 3: Alex looks at the input field, which now looks slightly different (perhaps a different border color or icon).

**[Target Text]**
Panel 1 David: Open Composer (`Cmd+I` / `Ctrl+I`). See the mode selector at the top?
Panel 2 David: Click **Agent**. This adds a section to display its thinking process.
Panel 3 Alex: Got it. It says 'Agent' now.
David: The instructions are the same as Normal mode. Just be specific: 'Fix this, test it, and verify'."
Page 7,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2]

**[Heading]**
- Section: 8.2 UI Guide

**[Visual Direction]**
A clean UI diagram of the Composer window.
1. Highlight the **Mode Selector** at the top (Normal / Agent).
2. Highlight the **Input Field** where prompt is typed.
3. Show a placeholder for **Thinking Process** (which appears after running).
[Ref: REF_IMG_2] (Cursor) is pointing at the ""Agent"" toggle.

**[Target Text]**
**How to Activate Agent Mode**

1. **Open Composer**: Press `Cmd+I` (Mac) or `Ctrl+I` (Win).
2. **Select Mode**: Click the **Agent** button at the top.
3. **Input**: Write your request. Be specific about **what to fix** and **how to test**.

**Pro Tip:**
The more specific your instructions, the better Agent performs!"
