タイムコード,項目,書き起こし内容
00:02 - 01:06,セミナー開始と参加者への案内,はい聞こえてますか大丈夫ですか聞こえてますか。そろそろお時間になりましたので始めたいと思います。はいじゃあ時間になったので始めたいと思います、よろしくお願いいたします。ZOOMで聞こえない方はコメントを見てください。今日はカメラをオンにして受講していただけると集中力が変わりますからね。今日は画面が大きくできないのでご了承下さい。
01:06 - 02:10,質問対応とメモの重要性,質問があればお問い合わせフォームから送ってください。最初にメモを準備してください。紙とペンがあるとベストです。情報を「すぐに必要な情報」「将来的に必要な情報」「誰かのための情報」の3つに分けてメモを取ると効果的です。
02:10 - 03:16,X（旧Twitter）アカウントの案内,私のTwitterアカウントをフォローしてください。XやTwitterは生成AIや情報収集に非常に便利です。アカウントを持っていない方はセミナー中に作っていただいても大丈夫です。生成AIを使うためにも活用をお勧めします。
03:16 - 05:25,自己紹介と過去の活動,私の名前は七里新一、51歳です。元自衛官で、建築関係の仕事を経て、インターネットビジネスを教えています。過去には10万人にセミナーを行い、SEO対策やホームページ制作、映像の撮り方などを指導してきました。現在は生成AIに関する学校を運営しています。
05:25 - 06:29,活動内容と書籍紹介,私はインターネットマーケティングツールを提供する「エキスパ」の社長も務めています。また、5年前に「絶滅危惧職種図鑑」という書籍を出版し、現在は生成AIに関するプロンプト研究所を運営しています。プロンプトエンジニア検定の本も出版しました。
06:29 - 07:33,デビ夫人との関わり,実は私はデビ夫人の会社の副社長をしています。デビ夫人AIも開発していますので、ぜひTwitterでチェックしてください。
07:33 - 08:37,特典の案内,セミナー参加者には絶滅危惧職種図鑑のデジタル版など多くの特典を用意しています。メールやショートメールで送ったURLにアクセスして、パスワード「1258」を入力してください。セミナー終了後にも別のパスワードをお伝えします。
08:37 - 09:42,セミナー内容の概要,今日は約2時間のセミナーを予定しています。第1章では生成AIとは何か、第2章ではプロンプトの作り方を、第3章では生成AIがもたらす未来についてお話しします。
09:42 - 10:46,生成AIの基本説明,生成AIとは、テキストデータ、画像データ、映像データ、音声データを作成するシステムです。チャットGPTは文章を生成し、WordやExcelのように人間の言葉に基づいて作業をしてくれます。
10:46 - 11:50,生成AIツールの紹介,文章生成にはチャットGPT、Googleのジェミニ、Facebookのラマがあり、特にジェミニをお勧めします。画像生成にはダリ3、ミッドジャーニー、ステーブルディフュージョン、Adobeのファイアフライがあります。音声生成にはイレブンラボ、ビデオなどがあり、デビ夫人AIもイレブンラボを使用しています。
11:50 - 14:00,音楽と映像生成ツールの紹介,音楽生成にはビデオ、映像生成にはオープンAIのクラがあり、YouTube動画の編集にはブリュをお勧めします。
14:00 - 15:05,映像生成ツールの紹介,次は映像生成ですね。今は「空」が一番有名です。オープンAIが出している映像生成AIで、チャットGPTを勉強していれば使えるようになります。もう一つ、「ブリュ」というツールもあり、テロップ入れや自動映像作成が可能です。YouTubeやショート動画の編集をしたい人におすすめです。
15:05 - 16:11,チャットGPTの活用例,これがチャットGPTです。たとえば「カレーライスの作り方を教えて」と命令すると、すぐに手順を教えてくれます。Google検索で何ページも調べる必要がなく、一瞬で答えが得られるのがチャットGPTの強みです。また、日頃感謝している奥様に手紙を書きたいときも、感謝の手紙を作成してくれます。
16:11 - 17:16,音声入力の活用,これからは音声入力が必須です。WindowsやMacでの音声入力の設定をググってみてください。音声入力を活用すると生成AIをより効果的に使えます。ちなみに、今生成した画像はピザ屋さんの写真です。この画像の著作権は命令を出した人にあります。
17:16 - 18:21,画像加工の説明,生成されたピザ屋の写真に対して「枠の線は緑色で少し太め、文字は『美味しいピザはいかがですか』、文字の色は黒で白のシャドウをかけてください」と命令すると、チャットGPTが自動で加工してくれます。これでPhotoshopのような画像編集ができるのです。
18:21 - 19:26,サムネイル作成の例,画像に文字や枠を追加し、生成されたサムネイル画像をダウンロードできます。チャットGPTを使うことで、Photoshopのように簡単に画像を加工してくれるんです。
19:26 - 20:33,音楽生成の紹介,音楽生成アプリ「ビデオ」を使って、プロンプトに「日本のアイドルで元気がある音楽」と指示を出すと、音楽が自動生成されます。アイドル顔負けの楽曲を生成し、さらに歌詞を入力すれば、それを歌ってくれる機能もあります。
20:33 - 21:36,デビ夫人AIの紹介,「デビ夫人AI」を使って「どんな男性と結婚したいですか？」と質問すると、「信頼と尊敬ができるパートナーを選ぶことが大切よ」と答えてくれます。デビ夫人AIも含め、チャットGPTは多くのことができ、文章生成やデータ分析、多言語翻訳なども可能です。
21:36 - 22:40,チャットGPTの活用事例,プロセスの文章化やデータ分析が非常に得意で、将来は投資の分析にも使えるでしょう。チャットGPTにやらせたいことがあればコメントをください。それに基づいてセミナーの内容を変えていきます。
22:40 - 23:46,生成AIの効果と活用方法,生成AIを活用すれば、アインシュタインが従業員のように働いてくれます。365日24時間、文句も言わずに低コストで働き続けてくれるのです。生成AIの指示にはコツがあり、頭はアインシュタインでも、命令を理解する力は小学生レベルです。
23:46 - 24:30,プロンプトの重要性,プロンプトとは、AIに分かりやすく説明する技術です。5W1Hのように命令を明確にすることで、AIが理解しやすくなり、より精度の高い回答を得られます。第2章ではこのプロンプトの公式を詳しく説明します。
24:53 - 25:58,プレゼントの紹介,皆さんがチャットGPTにやらせたいことのコメントを元に過去のデータをまとめたものをお送りしますので、参考にしてください。世の中の人がチャットGPTに何をさせたいか書いてあります。
