Slide,Shot Type,Visual Image Prompt (EN),Corresponding Script (JP),,,,,,,,,,,,,,,,,,,
Slide 1,"Thumbnail Plans (A, B, C)","### PAGE 1\n◆【このページの出力形式】Aspect Ratio 16:9（ページ全体）。Layout: 3コマ横並び (A, B, C)。[Ref: REF_IMG_1]=tanaka_ref [Ref: REF_IMG_2]=akari_ref。要100%一致。Style: Professional Japanese Manga, 16:9, no dialogue in image, whiteboard labels OK.\n\n◆【SCENE & ATMOSPHERE】\n動画全体のサムネイルコンセプト。目を引く、代表的なシーンを設定してください。DYNAMIC BACKGROUNDS、CHARACTER EXPRESSIONS、TEXT IN IMAGESの指示を厳守してください。\n\n◆【VISUALS & DIALOGUE】\n- Panel 1（Option A）: [Close-up of Tanaka [Ref: REF_IMG_1] looking confident and pointing a finger upward. Background features a holographic brain diagram with the text ""HUMAN NATURE"" and a ""VS"" icon against a gear mechanism labeled ""SYSTEM"". Visualizes 'Weakness vs Mechanism'.]\n- Panel 2（Option B）: [Akari [Ref: REF_IMG_2] looks shocked/epiphanic holding a tablet. Background shows a futuristic golden bar graph rising sharply with the text ""PROFIT STRATEGY"" and ""20000000"".]\n- Panel 3（Option C）: [Tanaka [Ref: REF_IMG_1] and Akari [Ref: REF_IMG_2] standing back-to-back in the lab. Background is filled with floating English keywords like ""GPS"", ""TIME"", ""VALUE"", and ""LOGIC"" in neon blue. Energetic and intellectual vibe.]\n\n◆【DIALOGUE & SFX LIST】\n(後付けテロップ用・画像には含めない)\n\n◆【THE CHARACTER LOCKDOWN】\n- [Ref: REF_IMG_1] Tanaka. 35yo male. Blue shirt, white pants. NO variance.\n- [Ref: REF_IMG_2] Akari. 26yo female. Yellow sweater, beige skirt. NO variance.\n\n◆【NEGATIVE PROMPT】\n(dialogue, 台詞, caption, subtitle, watermark, text inside face, extra fingers, low quality, blurry, deformed hands, blurred eyes, photorealistic, 3D render, wrong outfit, static boring pose, flat lighting)",サムネイルのコンセプト。動画全体のテーマを象徴する。,,,,,,,,,,,,,,,,,,,
Slide 2,8:9 Stacked (Vertical 16:9x2),"### PAGE 2\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (上記の「CORE CHARACTER REFERENCES」を参照し、各キャラクターの固定特徴を一言一句変えずに具体的に記述すること。年齢、性別、体型、髪型、顔立ち、服装の詳細を厳密に描写せよ。)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, average build, sharp jawline, NO boyish face, clean short black hair with forehead visible, wears vibrant blue button-down shirt with top button open and sleeves rolled up, crisp white trousers. NO glasses, NO white coat or jacket.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, slender build, long bright honey-brown hair, expressive amber eyes, wears warm yellow or orange knit sweater or elegant blouse.)\n◆【SCENE & ATMOSPHERE】: [Clean, modern Urelabo laboratory. Upper panel is slightly dim to reflect Akari's mood. Holographic screens show incomplete tasks.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Akari [Ref: REF_IMG_2] is slumped over a futuristic desk, head in hands, looking defeated. A holographic checklist floats nearby showing ""Blog: 0/3"", ""Email: 0/10"" in red English text. Atmosphere of failure.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] appears from the side, leaning in with a friendly, observant smile, looking at Akari's screen which shows a generic ""VIDEO PLAYER"" icon. Akari looks up, startled and guilty.] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (1. あかり: Sigh... I'm useless... 2. 田中: Blaming yourself again? 3. あかり: Oh, Tanaka-san...)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants, NO GLASSES)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",1 あかり：「はぁ……私ってダメだなぁ。今日はブログ3記事書いて、営業メールも10件送るって決めてたのに。気づいたらYouTube見て、お菓子食べて、一日終わっちゃった……。」 2 田中：「おやおや、あかりちゃん。また『自分攻め』のループに入ってるね？ 意志の弱さを嘆いているのかい？」 3 あかり：「あ、田中さん……。はい、私って本当に意志が弱くて。フリーランス向いてないのかなって。」,,,,,,,,,,,,,,,,,,,
Slide 3,8:9 Stacked (Vertical 16:9x2),"### PAGE 2\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (上記の「CORE CHARACTER REFERENCES」を参照し、各キャラクターの固定特徴を一言一句変えずに具体的に記述すること。年齢、性別、体型、髪型、顔立ち、服装の詳細を厳密に描写せよ。)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, average build, sharp jawline, NO boyish face, clean short black hair with forehead visible, wears vibrant blue button-down shirt with top button open and sleeves rolled up, crisp white trousers. NO glasses, NO white coat or jacket.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, slender build, long bright honey-brown hair, expressive amber eyes, wears warm yellow or orange knit sweater or elegant blouse.)\n◆【SCENE & ATMOSPHERE】: [Clean, modern Urelabo laboratory. Upper panel is slightly dim to reflect Akari's mood. Holographic screens show incomplete tasks.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Akari [Ref: REF_IMG_2] is slumped over a futuristic desk, head in hands, looking defeated. A holographic checklist floats nearby showing ""Blog: 0/3"", ""Email: 0/10"" in red English text. Atmosphere of failure.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] appears from the side, leaning in with a friendly, observant smile, looking at Akari's screen which shows a generic ""VIDEO PLAYER"" icon. Akari looks up, startled and guilty.] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (1. あかり: Sigh... I'm useless... 2. 田中: Blaming yourself again? 3. あかり: Oh, Tanaka-san...)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants, NO GLASSES)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",4 田中：「（食い気味に）違うよ！ 君がダメなんじゃない。『人間はそもそも弱い生き物だ』という前提に立っていないだけだ！ 君のそのダラけた姿こそ、日本最強企業が証明した真理なんだよ！」 5 あかり：「えっ？ ダラけてるのが真理……？ 慰めてくれてるんですか？」,,,,,,,,,,,,,,,,,,,
Slide 4,8:9 Stacked (Vertical 16:9x2),"### PAGE 4\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Presentation mode. Background shows a futuristic high-tech building silhouette representing Keyence.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] presenting with an open hand. Background features a sleek, modern building sketch and holographic data: ""AVG INCOME: 20M"" and ""PROFIT: 50%"". He looks professional and admiring.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] brings a hand to his chest, expression serious. Background shows a silhouette of a generic office worker icon with a ""zzz"" symbol, labeled ""HUMAN NATURE"", contrasted with a strong gear icon labeled ""SYSTEM"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (6. 田中: It's a fact. Keyence assumes humans are weak.)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",6 田中：「慰めじゃない、事実だ。日本には、平均年収2000万円越え、営業利益率50％以上という化け物企業『キーエンス』がある。彼らがなぜ最強なのか知っているかい？ 彼らは『社員は優秀だ』なんて信じていない。『社員はサボるし、弱い生き物だ』という前提でシステムを組んでいるからなんだ！」,,,,,,,,,,,,,,,,,,,
Slide 5,8:9 Stacked (Vertical 16:9x2),"### PAGE 5\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Lab setting shifting to title sequence. Intellectual and revealing atmosphere.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Akari [Ref: REF_IMG_2] leans forward, eyes wide in disbelief. Tanaka [Ref: REF_IMG_1] snaps his fingers with a confident smirk (not evil, but sharp). Background text: ""WEAKNESS THEORY"".] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] spreads arms welcomingly. Background is a complex, beautiful holographic schematic of gears and arrows leading to a trophy, labeled ""AUTO-SUCCESS SYSTEM"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (7. あかり: Even elites are weak? 8. 田中: That is 'Seijakusetsu'.)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",7 あかり：「ええっ！？ エリート集団なのに、『人間は弱い』って思ってるんですか？」 8 田中：「そう。これを『性弱説（せいじゃくせつ）』と言う。今日は、君のような意志の弱い人間こそが知るべき、キーエンスの『人を自動的に成功させるシステム』を解剖しよう。」 [シーン：タイトルロゴがドーンと表示される] 『ウレラボ』〜100億売ったマーケターが解剖する企業戦略〜,,,,,,,,,,,,,,,,,,,
Slide 6,8:9 Stacked (Vertical 16:9x2),"### PAGE 6\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Standard bright Urelabo studio background. Friendly and welcoming intro vibe.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] stands tall, hand on chest, looking reliable and energetic. Background has a holographic ""URELABO"" sign and icons of money bags and graphs. Text: ""10 BILLION SOLD"".] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Akari [Ref: REF_IMG_2] pumping a fist in determination, smiling brightly. Background has sparkles and a small icon of a slacker crossed out, replaced by a diamond. Text: ""SECRET TO SUCCESS"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (9. 田中: Welcome to Urelabo! 10. あかり: I'll steal the secret!)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",9 田中：「ようこそウレラボへ！ マーケティングを愛しすぎる男、所長の田中祐一だ。このチャンネルでは、累計100億円以上を売ってきた私の視点で、企業の成功事例を『ロジック』で解剖していくよ。」 10 あかり：「アシスタントのあかりです！ 今日はサボり癖のある私でも、年収2000万プレイヤーになれる秘密を盗みたいと思います！」,,,,,,,,,,,,,,,,,,,
Slide 7,8:9 Stacked (Vertical 16:9x2),"### PAGE 7\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Historical/Documentary vibe. Background shows a silhouette of a great figure.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] gesturing towards a large holographic screen. On the screen is a dignified, shadowed silhouette of an older businessman (Takizaki). Text on screen: ""THE LEGEND"".] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] looks serious and thoughtful. Background shows a timeline with two jagged drops labeled ""FAILURE"" and ""BANKRUPTCY"", leading to a rising line labeled ""CONCLUSION"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (11. 田中: The founder, Takizaki Takemitsu. He experienced failure.)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",11 田中：「今回の主役、キーエンス創業者の滝崎武光（たきざき たけみつ）氏。彼はメディアにほとんど出ない伝説の経営者だ。彼はかつて2度の倒産を経験し、そこである結論に達した。」,,,,,,,,,,,,,,,,,,,
Slide 8,8:9 Stacked (Vertical 16:9x2),"### PAGE 8\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Lab setting. Contrast between ""Spirit"" and ""System"".]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Akari [Ref: REF_IMG_2] looks surprised, hands raised slightly. Tanaka [Ref: REF_IMG_1] nods solemnly. Background: Icon of a broken lightbulb labeled ""FAILURE"".] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] is emphatic, fist clenched in front of chest. Background: A burning flame icon crossed out labeled ""SPIRIT"", replaced by a solid, glowing blue structural grid labeled ""MECHANISM"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (12. あかり: Two bankruptcies? 13. 田中: He built a mechanism for the weak.)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",12 あかり：「2度も倒産！？ 天才経営者じゃなかったんですか？」 13 田中：「そう、挫折を知っているんだ。だから彼は『精神論』を信じない。気合いや根性ではなく、『弱い人間でも成果が出る仕組み』を作ることに執念を燃やしたんだよ。」,,,,,,,,,,,,,,,,,,,
Slide 9,8:9 Stacked (Vertical 16:9x2),"### PAGE 9\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Breaking the fourth wall. Engaging and direct. Background features UI elements.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] looks directly at the camera (viewer), offering a hand as if to help. Background shows a chain breaking labeled ""BREAK FREE"" and a box labeled ""SYSTEM"".] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] pointing at a holographic ""SUBSCRIBE"" button floating in the air. Akari [Ref: REF_IMG_2] next to him waves and points too. Background has ""Click Here"" arrow icons.] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (14. 田中: Subscribe now!)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",14 田中：「この動画を見終わる頃には、あなたは『自分の意志の弱さ』を責めるのをやめ、代わりに『勝手に結果が出る仕組み』を手に入れているはずだ。今のうちにチャンネル登録をして、講義に備えてくれ！」,,,,,,,,,,,,,,,,,,,
Slide 10,8:9 Stacked (Vertical 16:9x2),"### PAGE 10\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Lab lecture mode. Background features a large holographic scale/balance.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] stands next to a holographic balance scale. On one side is an angel halo icon labeled ""GOOD"", on the other a devil pitchfork icon labeled ""EVIL"". He looks quizzical.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Akari [Ref: REF_IMG_2] looks thoughtful, finger on chin, looking at the scale. Background shows a faint office silhouette with ""TRUST?"" and ""DOUBT?"" text.] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (15. 田中: Good nature or Bad nature? 16. あかり: Hmm, maybe good?)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",15 田中：「さて、あかりちゃん。人間の本質について、性善説（人は良い人）と、性悪説（人は悪い人）、どっちが正しいと思う？」 16 あかり：「うーん、信じたいのは性善説ですけど……ビジネスだと性悪説で管理しないと怖い気もします。」,,,,,,,,,,,,,,,,,,,
