ステップ	タイムコード	項目狙い	書き起こし
ステップ1-1	0:00 - 〜	セミナー全体の把握・学習ゴールの理解	こんにちは、ワタナベケイタです。facebook広告セミナーの方を始めていきます。で、今回のこちらのセミナーのまず目的なんですけれども、初心者でも、あのー、facebook広告をですね、ま、しっかりと作成して、え、回していけるようになるというところを、ゴールとして置いております。え、ま、実際にですね、えっと、広告を今まで運用してない方も、広告を運用したことがある方も、えー、しっかりと見て学んでいただけるような内容にはなっておりますので、え、是非ご覧いただければと思います。で、まー、ちょっと目次の方ですね、こちら解説させていただきますと、ま、全部でステップが八つあります。で、まずステップ一なんですけれども、こちらはもう本当に全く広告を回したことがないよ、という方が、facebook広告の、じゃあアカウントをどういう風に準備していけばいいのかというところに関して、解説をさせていただいております。で、次にステップ二からステップ七のところまでは、広告のクリエイティブに関して、お話をしています。なので、ま、どういう風に広告というものを考えていけばいいのかというところから、お客様ってどういう風なことを考えてるのか、どんなリサーチをしていけばいいのか、そして、広告の見出し、ボディコピー、画像作成っていうものを、どう行っていけばいいのかというところに関しての解説になっていきます。そして、最後にステップ八で、じゃ、実際に広告運用をした時に、ま、どんな数字を見て、分析をしていけばいいのか、というところに関してのお話をステップ八でさせていただきます。で、ここの流れが全部できるようになれば、えー、広告を、まー、クリエイティブを作成して、で、次に広告を出稿して、で、その広告を回しながら、どういう風に数値を見ていって分析をすればいいのか、そして、その数値分析から、次の仮説をどう立てて、また広告を作っていけばいいのかというところの流れが分かるようになりますので、え、是非ですね、このセミナーをマスターしていただいて、広告の運用を、えー、しっかりと行えるようになっていただければと思います。で、最後に、ま、付録というところで、そのfacebook広告出稿の実作業デモというものを入れてます。ま、本当にそのfacebook広告のマネージャーには、の中に入って、えー、どういう風に広告を作成して、出稿の操作をしてるのかというところを、あの、実際の画面で録画して、えー、ご覧にいただこうかなと思っておりますので、ま、そちらを準備しております。ただちょっと注意点としては、もうfacebookの使用上ですね、どんどんどんどん画面っていうのが、ま、アップデートされていくんですよ。なので、今日、僕がここで撮ってる画面っていうのが、もしあなたがこの動画を見る時に、全く同じ画面かというと、そうじゃないパターンっていうのがあります。ま、大まかには変わらないとは思うんですけれども、ま、ちょっとこういう風な作業が必要なんだなっていうところを、感覚をつかむイメージで見ていただければと思います。それでは、えー、早速ですね、ステップ一のfacebook広告、アカウント準備というところに入っていこうと思います。こちらでは、どういうことをするかっていうと、facebook広告を回すための、アカウントっていうものの作成が必要になります。えー、作成する手順として、えっと、順番にまー、作成していくものがあるんですよね。facebookページ、えー、ビジネスマネージャーとして、広告アカウントというような形で、三つ準備が必要な、なってくるので、ま、それぞれあの、作成の仕方というものを解説していこうと思います。で、まず1-1、facebookページの作成というところで、実際の画面を見ていただきながら、え、どういう風に作成すればいいか、一緒に行っていただければと思います。はい、えー、それではですね、えー、facebookページの作成の方に、えー、入っていきます。で、まず、何をするかというとこなんですけども、えー、facebookの個人アカウントの方にログインをしていただきます。で、今これ、facebookの、えー、個人アカウントのログイン状態ですね。で、ここで、えー、どういうことをしていくかっていうと、ここの作成っていうボタンを押すと、ページというのが出てくるんですよ。で、ここのページっていうのをクリックしていただくと、facebookページの作成画面になります。で、まー、えっとーここでビジネス、またはブランドっていうのを押していただいて、ここでfacebookページ名を決めていくという形になります。で、まーページ名なんでもいいので、けだとか。こんな感じですね。決めていただくと。で、カテゴリーですね。えー、カテゴリーを、ま、決めていく必要があって、ページのカテゴリー何か追加してくださいというのができますと。でも、普通にこれ、ビジネスとか、ビジネスサービスです、ビジネスコンサルタントですとか、まーあと、お店とかだとショッピング、うん、ショップですとかですね。飲食とか。ご自身のやってるビジネスの業界をここに入れていただくというような形になります。で、ここに住所を入れていく必要があるので、えっとー、ま、ご自身の、えっと、今の住んでいる住所とか、ビジネスの会社のある住所っていうのをここに入力していただくという形になります。で、ここの箇所なんですけども、都道府県、市町村とかですね、ここなんか、普通に東京通って、行っても、なんか上手くいかなかったりする時があるんで、例えば港区とか港区とかって言っていただいて、これで選択するという形を取った方が良かったりしするので、まーご自身の住んでるところで、もし選択肢が出てくるかどうかっていうのは、ちょっと試していただく方がいいかなと思います。で、住所を表示しないってやっとけば、ビジネスページの方にですね、アクセスされても、住所見えないので、そこを安心していただければと思います。で、次へという形で入ります。はい。え、これで、えっと、まずビジネスページの設定の方は完了になります。えー、実際にここの、あのー、プロフィールピクチャーみたいなところですね、こちらに関しては、決め、あのー、ご自身のビジネスで発信するんであれば、ご自身の顔とか、ま、もしくは何かロゴとかですね、そういったものを、あの、入れておく方がいいです。会社のロゴとかでも。で、なぜかって言うと、広告を出す時に、このビジネスページから広告が出ているっていう形になるんですよ。なので、えっと、facebookのニュースフィードにわーっと広告が並ぶ時に、ここですよね。広告、まーウォンテットリーって書いてる、このダブルって書いてる、これですね。これ、これの写真っていうのが、さっきのビジネスページの写真になります。なので、ここの写真っていうのは、実際に、ま、あなたが広告を打った時っていうのは、皆さんどんな会社なのかとか、どんな人なのかっていうのを見るので、ま、誰が広告してるのかっていうのを見たりするので、ま、僕の写真はですね、えー、何かしら決めておいた方がいいと。で、えっとー、ま、個人ビジネスとかをされてるのであれば、結構その、広告と思われない個人の投稿に近いような、印象の広告の方が、ま、実際読まれたりするので、なんか、顔が、顔出しがオッケーであれば、じ、ご自身の、普通の個人アカウントに登録するような、顔写真とかっていうのでも、全然オッケーかなと思います。ま、まずここの形で、facebookページですね、えっと、実際に作っていただければと思います。
ステップ1-2	0:00 - 0:56	ビジネスマネージャー作成手順の習得 - 全体像	では続きましてですね、えー、facebookここアカウント準備編として1-2のfacebookビジネスマネージャーの作成の方に入っていきます。こちらも、えー、実際のま、操作画面の方で確認をしていきますので、えー、そちらをご覧ください。はい、えー、それではですね、今度は、facebookビジネスマネージャーというものを作成していきます。で、まー、ビジネスマネージャーって何だと聞いたことはないという方もいると思うんですけども、ま、ちょっとそういったツールが必要になってくるので、こちらのアカウントの作成が必要になります。で、まずgoogleでfacebook、ビジネスマネージャーと検索いただくと、このような検索結果が出てきます。ビジネスマネージャーを作成する、facebook、ビジネスヘルプセンター、これをクリックしていただくと、まーこのような管理ツール、ビジネスマネージャーについての説明が出てきます。で、ちょっと下に行くと、このビジネスマネージャーを作成する手順っていうのを書いてくれてるんですね。なので、ここでまずビジネスfacebook.
ステップ1-2	0:56 - 〜	ビジネスマネージャー作成手順の習得 - 手順1	comオーバービューに移動します。で、これがまビジネスマネージャーの画面になりますね。で、ここでアカウントを作成っていうのを押すと、えっとー、ビジネスおよびアカウントの名前っていうのが出てきます。で、ここで、渡辺圭太とかね。まビジネスマネージャーのアカウントと、アカウント名ですね。これが特に表に出るところでいくと、そうですね、名前がまー、facebookで表示されるためっていうところがあるので、えっとー、ま、実際に個人アカウントであれば、個人、個人アカウントと同じ名前で感動するんであれば、それと同じ名前とか、ビジネス名で活動されるのでは、ビジネス名とか、そういった形で作っていただくのがいいんじゃないかなと思います。で、えっと、仕事のですね、受け取り用のアドレス、ま、ここにビジネスマネージャーの、えー、承認アドレスとかが来るので、ま、承認メールとかが来るので、ま、ここに普段使っている、アドレスを入れてあげてください。で、次へ行きます。で、えっと、ここの項目を入れないといけないんですけども、ま、ビジネスをしている場所ですね。日本とか。この辺の、ま、住所関係とかが全部入れる必要が出てくるので、これを全部入力してください。で、あとウェブサイトですね。普段使っている、ま、ブログページとかでもいいので、ウェブサイトっていうものを登録してあげてください。はい、えー、こんな感じでウェブサイトを入れてあげます。で、えっとー、このビジネスアカウントっていうのを、ま、何で使うのかっていうところで、ま、自社の製品やサービスを宣伝するためですよと。で、これでそうすると。そして、ビジネスアカウントを作成を行った。はい。で、こんな形で、えー、作成されましたっていうので、メールアドレスを確認してくださいという風に、えー、メールが飛んできます。で、これ時々、えっと、何かfacebookの通信エラーとかなのか、あの、送信としても何かエラーが出るパターンとかがあるんですよ。で、その場合はもう時間を置いて、もう一回やり直してみてください。全然その、アカウントで何かngを食らってるとか、そういうのではないので、何かタイミング的に上手くいかない時っていうのはやっぱりあるので、ここはもう根気よくそれは続けるという形でお願いいたします。はい。では、こんな形で、えっと、まずメールの認証をしてもらうことによって、え、ビジネスマネージャーが、えー、使えるようになります。はい。ここまでやったら、次に、広告アカウントを作成する必要があるので、こちらに関してお話をしていきます。
ステップ1-3	0:00 - 4:42	広告アカウント作成と紐付けの理解 - 全体像	えー、それではですね、次、facebook広告アカウント準備、最後の項目ですね。えっと、facebook広告アカウントの作成を行っていきます。まー、今まで作成してきたものが、facebookページと、えっと、facebook広告、あ、facebookビジネスマネージャーとして、え、三つ目に、facebook広告アカウントというもの。この三つを作んないといけないので、こちらの作成について、ま、同じようにですね、こちらも実際の画面を見ていただきながら、えー、ご説明をしていくという形でさせていただきます。はい、えー、それではですね、ま、先ほど作ったビジネスマネージャーのところから、じゃどういう風な、まず行動をしていけばいいのかっていうとこなんですけど、広告アカ、アカウントのパフォーマンス、ここにまだ広告アカウントがありませんと、いう風になってます。なので、まずここで新しい広告アカウントを作成するということをします。で、このビジネス設定っていうところに飛んで、まだ広告アカウントがありませんと。で、ここで追加っていうのを行います。で、えっとー、広告、アカウントを既に持っているんであれば、ここに広告アカウントっていうのを入れることができるんですけども、まー、今回新規で作りますよ、というパターンでご説明をしているので、新しい広告アカウントを作成という一番下の項目を選んでいただければと思います。で、ここに広告アカウント名を入れることができます。はい、このような形で入れます。で、ま、時間帯は日本の時間帯、で、通貨ですね、これは、えー、日本円でされると思うので、ジャパン、ジャパン円ですね。にしていただくという形になります。これで次へを押します。で、この広告アカウントで専念するビジネスっていうのは何なのかっていうところで、ま、自分のビジネスですよと。いうところですね。選んでいただいて作成と。はい。これで、広告アカウントっていうのが作成できました。で、えっとー、ま、このビジネスマネージャーとか、広告アカウントに関して、アクセスできるユーザー数っていうのを、例えばチームで広告を運用していきますよとかあった時に、ま、自分以外の、えっと、社員の方とか、チームメンバーとかっていうのを、えー、ま、アクセス許可をしたりとか、ま、招待することっていうのができるんですよ。で、この人一人一人が、どこまでの、その広告、広告アカウントに対しての、えー、権限を持ってるかっていうところも決めます。例えば、キャンペーンを、えー、実際に広告を作ることができる人とか、パフォーマンスの確認のみできる人とか、あとま、アカウントに新しい人を追加したりとかもできるとか、ま、そういったところの権限の割り振りっていうのはあり、あるので、ま、最初にご自身作った時は、えっと、全ての権限持ってる状態だと思うので、この広告アカウントを管理という権限で、アクセス許可の設定をしていただければと思います。はい。これで、広告アカウントの作成が完了ですね。で、今これが、えっとー、先ほど作った、ここを見ていただくと、ビジネスマネージャーで作った、えー、ビジネスアカウントが表示されていて、このビジネスアカウントに、今このビジネスアカウント全体の情報を開いてますよ、と。で、そん中の広告アカウントとして紐づいてるのが、これですよっていうような形なので、各ビジネスアカウントごとに、えー、ビジネスマネージャーの中に、えっと、実際に広告アカウントを1個2個3個でどんどん追加することもできるんですよ。なので、そういった形で、じゃあ、個人ビジネスとしての名前で広告を打ちたいものとか、だから会社としてちょっと別の方向で打ちたいもの、もしくは、えー、事業ですね、事業の柱ごとに、えー、広告を打ちたいものが変わるのであれば、そういった形で事業ごとに広告アカウントを作ってあげるとか、っていうこともできます。で、ここで広告アカウントに紐づけがまずされているのを確認していただいて、もう一つ、ページの方ですね、さっき作ったfacebookページっていうものも、えー、実際ここで紐づけしてあげる必要があるので、ここで追加っていうのを行って、もうページは作っているので、facebookページの追加というところで、さっきのページ名を、作っていただくという形になります。それでページを追加とやると、このビジネスマネージャーに、facebookページの方も、このように紐づけがされるようになりますと。えー、このようにまずページを追加していただいて、その後、もう一つですね、ちょっと情報として追加しといていただきたいものがあります。というのは、ここの支払いというものですね。ここに、えっと、ビジネスマネージャーに支払い方法っていうのを追加することができます。で、ここのビジネスマネージャーで支払い方法を設定しておけば、最終広告を出稿する時に、ビジネスマネージャーの支払い方法で、えっと、決済をしますか?
ステップ1-3	4:42 - 〜	広告アカウント作成と紐付けの理解 - 手順1	っていうところが出てくるようになります。で、これをもし、広告アカウントに支払い方法を追加してしまうと、えー、ちょっとデメリットがあって、まー、例えば、その広告アカウントって、やっぱり広告の審査がなかなか通らないとか、っていうことも起こり得たりするんですよね。で、もし審査が通らなくて、何度も審査が通らなかったりすると、この広告アカウント自体が、ま、バンされてしまうパターンがあります。で、えっと、実際にまー、要はアカウント停止状態ですね。で、アカウント停止状態になった時に、えっと、広告アカウントが停止になって、その広告アカウントが紐づいているクレジットカード番号というのは、もう押さえられてしまうことがあるんですよ。そうなると、もうそのクレジットカードで、他の広告アカウントを新しく作り直したとしても、そのクレジットカードが入ってる時点で、すぐバンになってしまうとかっていうのがあったりするので、で、これを回避するには、ビジネスマネージャーにクレジットカードを登録しておくと、広告アカウントから支払い方法は、ビジネスマネージャーの支払い方法のやり方にしますよってやっておけば、えっと、今のところクレジットカード番号、で、バンされるっていうところ、同じカードを使って、新しく作り直しても、バンされるっていうところは聞いたことがないので、現状はそれで大丈夫という風に伺っています。なので、えっと、作るのであれば、ビジネスマネージャーに、えっと、実際にこの支払い方法を追加、割り当てをするということをやっていただくと。でもここで支払い方法を追加というところを押していただいて、ま、クレジットカードですね、日本の請求先で日本円でクレジットカードの番号とか入れてあげて、次へと進むと、カード情報が登録できるので、そちらで登録の方をお願いいたします。はい。この状態で、え、やっと広告っていうのが、どんどん使っていけるようになりますので、まずここまでですね、アカウントのセッティングとしてご用意いただきたいなというところになります。で、次のステップからは、実際にじゃあ広告のクリエイティブの方を、えー、どうやって作っていくのかというところをまずご説明して、で、最後にもう一回、えー、実際のじゃあ画面で広告をどうやってセットするのかというところのお話をできればと思います。
ステップ2-1	0:00 - 3:44	広告の全体像とプラン→DO→OBSERVEの理解 - 全体像	はい。えー、それではですね、実際に広告のクリエイティブの方に入っていきます。で、まず、ま、クリエイティブをやるとなっても、そもそも広告の考え方をですね、ま、知っといてもらわないと、えー、どういう風にこれ作っていったらいいのかとか、ま、分からないと思うので、まず広告の考え方についてお話をしていきます。で、まず2-1というところで、広告の全体像というところをお話ししていきます。で、facebook広告の全体のプロセスなんですけれども、まず一つ目にプランっていうのを立てます。で、このプランっていうのは、えっと、実際にまー、リサーチをして、え、仮説ですね。どういったえ、入り口で広告を出していけばいいのかというところの仮説を企画して、で、どんな価値でお客さんに訴求していくのかっていう価値訴求を考えます。そして、その価値訴求をするために、じゃあどんなアイデアを作って、出していこうかっていうアイデアを探していくというような形になります。で、まずそこでプラン作りをして、その次にdooですね。このクリエイティブ、広告の型っていうものが、まー、いろいろあるので、その広告の型を使って作ってみます。で、次にオブザーブ、ま、検証ですね、を行っていくというところですね。なので、出稿して検証、で、そこで運用していくと、ま、いろんな数値が出てくるんですよね。で、それによって、えー、一のプランの時に立てた仮説っていうのが、ま、正しかったのか、正しくなかったのかっていう検証をして、で、また次新たな仮説を立てて、プランを作っていくというような流れになっております。はい。えー、実際ですね、じゃ、このfacebook広告全体のプロセスっていうところで、もう少し詳しく見ていきますと、まず一つ目のプラン、どういうことを実際やっていくのか、で、リサーチを行っていきます。ま、お客様のリサーチとか、えー、商品のリサーチとか、あと競合とかですね、そういったところのリサーチを行っていきます。で、二つ目、どんな価値で訴求をするのかを決めていきますと。ま、お客さんにどんな、ポイントだったら響くのかとか、どういうところだったら価値を感じてもらえるのかっていうところの、あの、その価値の訴求の仕方っていうのを決めていきます。そして、見出しを作ります。で、このdooのところは、えー、広告の本文ですね、コピーをまー、書いていくというような形になります。そして、えっと、広告の画像を選びます。そして出稿するということをします。で、三つ目、オブザーブのところでは、ま、出稿した広告の数値の分析であったりとか、あと仮説ですね。仮説の検証を行って、で、えー、その元々のプランの時に、あのー、企画していた仮説っていうのが合っていたのかどうかっていうところを、ま、しっかりと検証しますと。で、新たな仮説のまず、立案をして、またプランに戻っていくというような形になっていきます。で、faceboo広告の、次、あの、構造の理解ですね。ま、どういう風にfaceboo広告って、あの、構造分けされてるのかっていうところですね、ま、実際に、あの、facebookで広告見たことはあると思うんですけども、まー、改めてですね、こんな構造になってますよっていうところをご説明すると、まずここのところですね、ま、文字何行か書いてあると思うんですよ。で、これもっと見るとすると、もっと文章が出てくるような形になっていて、ここがま、本文、で、え、いわゆるコピー、ボディコピーと呼ばれるようなところになってます。そして、画像ですね。まー、ここ画像か動画って形で、えー、選んでいただけるんですけども、えー、ま、ここはお客様がですね、facebook見てる時に、パッと目に入るところなんで、ま、どんだけ注意を引けるかというところで、えー、結構大事なポイントになってきます。そして、見出しというのがここですね。まー、何の広告なのかとかっていうところが、ここでパッと分かるようになっているというような形になってます。で、ま、そもそも広告って、じゃあどういう風に使うもんなんですか?
ステップ2-1	3:44 - 5:50	広告の全体像とプラン→DO→OBSERVEの理解 - 手順1	というとこなんですけども、ま、広告って何なのかっていう位置づけでいくと、商品と見込み客をつなげるものだというのを、しっかりとですね、意識しておいていただきたいなと思います。ま、お客さん、顧客がいて、で、商品がありますと。だから、広告っていうのは、その商品とお客さんを繋げているものと。で、えっとー、ま、それをじゃfacebookの中で見ると、実際の広告運用の中で見ていくと、どういうものかっていうと、ま、お客さんっていうのが、オーディエンスのリストっていうものになってきます。そしてこのメッセージっていうのは、ま、広告ですね。で、商品っていうところは、販売ページ、lpとかと言われるようなところが、え、実際にま、商品ページになっていくので、ま、そこにお客さんを誘導して、商品を買ってもらうかどうかというところを使うために、ま、広告を使っていくと。いうところになっております。はい。で、実際に、え、facebok広告っていうのは、じゃあ、どんなことをやっていくかっていうと、あのー、もう大きく分けると二種類の仕事だけなんですよ。運用、どうやって運用するのかというところと、クリエイティブで、ま、どんな広告を作るのかというところですね。この二つになります。で、えっとー、よく本屋さんとかで見るfacebook広告の本とかっていうのは、ほとんど運用なんですよね。ま、広告マネージャーの使い方とか、そっちなんですけども、広告自体の、まー、仕事と言いますか、えっと、役割を考えると、重要なのはクリエイティブになります。えー、八対二ぐらいで、クリエイティブの方が重要なので、ま、いかにクリエイティブ、どういう広告を作るかっていうところを、え、しっかりマスターするのが大事なので、このセミナーでもこのクリエイティブのところは、特に力を入れて、え、お話をさせていただいております。で、えっと、まずは、そのfacebookのその媒体を、えー、しっかりと理解しておいてもらうというところが、結構重要なんですよね。で、ま、ここの媒体の理解がないと、どういう風に広告を考えていけばいいのかっていうのが、やっぱ分からないというのがあるので、えっと、まずは、是非ちょっと今考えていただきたいんですけども、人はfacebookに何をしに来ていますか?
ステップ2-1	5:50 - 6:22	広告の全体像とプラン→DO→OBSERVEの理解 - 手順2	ここをですね、まず考えていただきたいなと思います。ま、フェイスブックに何しに来るかですよね。自分がフェイスブック見る時ってどんな、ま、気持ちで来ているのかとか、何しに行ってるのかとか、っていうところを是非考えて欲しいなと。で、実際に人はfacebookに来るのは、暇つぶしなんですよ。ま、暇だから来てるというところになります。ま、媒体によって、人は何しに来てるかっていうのは変わるんですよね。例えば、amazonだったら、人は何しに来ていますか?
ステップ2-1	6:22 - 6:29	広告の全体像とプラン→DO→OBSERVEの理解 - 手順3	商品を買いたいと思って来てるわけですよね。ま、買い物に来ているわけです。だから、googleであれば、人はどういう風な気持ちで来てますか?
ステップ2-1	6:29 - 6:34	広告の全体像とプラン→DO→OBSERVEの理解 - 手順4	何か知りたいと思ってる。何か検索をしにgoogleに来てるわけです。で、facebookは?
