タイムコード,項目狙い,書き起こし
00:02 - 01:06,参加者の集中・環境整備,はい聞こえてますか大丈夫ですか聞こえてますか。そろそろお時間になりましたので始めたいと思います。はいじゃあ時間になったので始めたいと思います、よろしくお願いいたします。ZOOMで聞こえない方はコメントを見てください。今日はカメラをオンにして受講していただけると集中力が変わりますからね。今日は画面が大きくできないのでご了承下さい。
01:06 - 02:10,能動的参加の促し・理解度向上,質問があればお問い合わせフォームから送ってください。最初にメモを準備してください。紙とペンがあるとベストです。情報を「すぐに必要な情報」「将来的に必要な情報」「誰かのための情報」の3つに分けてメモを取ると効果的です。
02:10 - 03:16,フォロー獲得・継続的な情報発信チャネル確保,私のTwitterアカウントをフォローしてください。XやTwitterは生成AIや情報収集に非常に便利です。アカウントを持っていない方はセミナー中に作っていただいても大丈夫です。生成AIを使うためにも活用をお勧めします。
03:16 - 05:25,信頼性・実績の提示,私の名前は七里新一、51歳です。元自衛官で、建築関係の仕事を経て、インターネットビジネスを教えています。過去には10万人にセミナーを行い、SEO対策やホームページ制作、映像の撮り方などを指導してきました。現在は生成AIに関する学校を運営しています。
05:25 - 06:29,権威性の確立,私はインターネットマーケティングツールを提供する「エキスパ」の社長も務めています。また、5年前に「絶滅危惧職種図鑑」という書籍を出版し、現在は生成AIに関するプロンプト研究所を運営しています。プロンプトエンジニア検定の本も出版しました。
06:29 - 07:33,信頼性の確保,実は私はデビ夫人の会社の副社長をしています。デビ夫人AIも開発していますので、ぜひTwitterでチェックしてください。
07:33 - 08:37,特典による離脱防止・継続誘導,セミナー参加者には絶滅危惧職種図鑑のデジタル版など多くの特典を用意しています。メールやショートメールで送ったURLにアクセスして、パスワード「1258」を入力してください。セミナー終了後にも別のパスワードをお伝えします。
08:37 - 09:42,全体像の提示・期待値設定,今日は約2時間のセミナーを予定しています。第1章では生成AIとは何か、第2章ではプロンプトの作り方を、第3章では生成AIがもたらす未来についてお話しします。
09:42 - 10:46,基礎理解の醸成,生成AIとは、テキストデータ、画像データ、映像データ、音声データを作成するシステムです。チャットGPTは文章を生成し、WordやExcelのように人間の言葉に基づいて作業をしてくれます。
10:46 - 11:50,具体像の付与・選択肢の提示,文章生成にはチャットGPT、Googleのジェミニ、Facebookのラマがあり、特にジェミニをお勧めします。画像生成にはダリ3、ミッドジャーニー、ステーブルディフュージョン、Adobeのファイアフライがあります。音声生成にはイレブンラボ、ビデオなどがあり、デビ夫人AIもイレブンラボを使用しています。
11:50 - 14:00,応用範囲の拡大認識,音楽生成にはビデオ、映像生成にはオープンAIのクラがあり、YouTube動画の編集にはブリュをお勧めします。
14:00 - 15:05,実用ツールの具体的イメージ付与,次は映像生成ですね。今は「空」が一番有名です。オープンAIが出している映像生成AIで、チャットGPTを勉強していれば使えるようになります。もう一つ、「ブリュ」というツールもあり、テロップ入れや自動映像作成が可能です。YouTubeやショート動画の編集をしたい人におすすめです。
15:05 - 16:11,実用性・親近感の創出,これがチャットGPTです。たとえば「カレーライスの作り方を教えて」と命令すると、すぐに手順を教えてくれます。Google検索で何ページも調べる必要がなく、一瞬で答えが得られるのがチャットGPTの強みです。また、日頃感謝している奥様に手紙を書きたいときも、感謝の手紙を作成してくれます。
16:11 - 17:16,活用ハードルの引き下げ,これからは音声入力が必須です。WindowsやMacでの音声入力の設定をググってみてください。音声入力を活用すると生成AIをより効果的に使えます。ちなみに、今生成した画像はピザ屋さんの写真です。この画像の著作権は命令を出した人にあります。
17:16 - 18:21,専門スキル不要の提示,生成されたピザ屋の写真に対して「枠の線は緑色で少し太め、文字は『美味しいピザはいかがですか』、文字の色は黒で白のシャドウをかけてください」と命令すると、チャットGPTが自動で加工してくれます。これでPhotoshopのような画像編集ができるのです。
18:21 - 19:26,ビジネス活用の具体例提示,画像に文字や枠を追加し、生成されたサムネイル画像をダウンロードできます。チャットGPTを使うことで、Photoshopのように簡単に画像を加工してくれるんです。
19:26 - 20:33,多様な活用可能性の提示,音楽生成アプリ「ビデオ」を使って、プロンプトに「日本のアイドルで元気がある音楽」と指示を出すと、音楽が自動生成されます。アイドル顔負けの楽曲を生成し、さらに歌詞を入力すれば、それを歌ってくれる機能もあります。
20:33 - 21:36,知名度活用・信頼性の強化,「デビ夫人AI」を使って「どんな男性と結婚したいですか？」と質問すると、「信頼と尊敬ができるパートナーを選ぶことが大切よ」と答えてくれます。デビ夫人AIも含め、チャットGPTは多くのことができ、文章生成やデータ分析、多言語翻訳なども可能です。
21:36 - 22:40,幅広い応用可能性の認識,プロセスの文章化やデータ分析が非常に得意で、将来は投資の分析にも使えるでしょう。チャットGPTにやらせたいことがあればコメントをください。それに基づいてセミナーの内容を変えていきます。
22:40 - 23:46,学習意欲の喚起,生成AIを活用すれば、アインシュタインが従業員のように働いてくれます。365日24時間、文句も言わずに低コストで働き続けてくれるのです。生成AIの指示にはコツがあり、頭はアインシュタインでも、命令を理解する力は小学生レベルです。
23:46 - 24:30,第2章への興味喚起・本題への導入,プロンプトとは、AIに分かりやすく説明する技術です。5W1Hのように命令を明確にすることで、AIが理解しやすくなり、より精度の高い回答を得られます。第2章ではこのプロンプトの公式を詳しく説明します。
24:53 - 25:58,特典価値の強化・メール開封の動機づけ,皆さんがチャットGPTにやらせたいことのコメントを元に過去のデータをまとめたものをお送りしますので、参考にしてください。世の中の人がチャットGPTに何をさせたいか書いてあります。
25:58 - 27:03,核心ノウハウの予告・期待感の醸成,次に、プロンプト8+1の公式をお伝えします。8つの要素は、定条件、プロファイル設定、参考情報、名刺と動詞、出力形式、分隊指定で、これにプラス1の追加指示が加わります。この公式を使ってチャットGPTに正確な指示を出す方法を紹介します。
27:03 - 28:10,プロンプト設計の考え方の伝授,まず前提条件を設定することが重要です。いきなり「手紙を書いて」と言っても、チャットGPTは混乱します。前提条件として、目標や目的を示すことで回答の精度が上がります。
28:10 - 29:19,効果の可視化,前提条件の例を紹介します。プロンプトを作成し、手紙の前提条件を入力した結果、前提条件付きの命令文は、前提条件なしよりも回答精度が高くなります。文章を作成する際、前提条件を使うことで精度が大きく変わります。
29:19 - 30:24,精度向上の具体手法,AIは「誰に書くのか」を重視します。例えば、48歳の妻に手紙を書く場合、その対象者に合わせたプロファイル設定を行うことが重要です。プロファイル設定によって、AIらしさがなくなり、より自然な文章が生成されます。
30:24 - 31:29,品質アップのポイント伝授,チャットGPTに何かを生成させる際には、参考情報を提供することが重要です。例えば、妻との出会いや感謝の理由など、具体的な情報を与えることで、クオリティの高い文章を生成できます。
31:29 - 32:35,命令文の設計原則,命令文を作成する際、名詞と動詞の組み合わせが重要です。名詞を正確に選ぶことで、文章の精度が大きく変わります。感謝の手紙やラブレターなど、名詞を変えるだけで、文章の方向性が決まります。
32:35 - 33:10,仕上げの技術,形容詞は、命令文の最後の仕上げとして、文章の方向性を決める役割を持ちます。形容詞をうまく使うことで、文章の質が大きく向上します。名詞と形容詞の組み合わせが、文章の方向性を決定する重要な要素です。
33:39 - 34:44,プロンプト構成の全体像の整理,プロンプトは形容詞、名詞、動詞の組み合わせが基本です。この単語の選び方が重要で、単語によってクオリティが向上します。プロンプトの構成を意識することで、生成AIの回答精度が上がります。
34:44 - 35:48,カスタマイズ可能性の提示,出力形式を指定することで、回答内容が大きく変わります。例えば、カレーライスの作り方を表形式や会話形式で教えてほしいと指定するだけで、出力のスタイルが変わります。
