通しNo,種別,作成対象,親スライド番号,ファイル名案,表示するテキスト（スライドに書く文言）,背景スタイル,対応ナレーション（該当部分の冒頭～末尾）
1,タイトル,不要（既存）,501,202620501.png,（既存）あなたの仕組み／Kindle印税資産へのゴールデンルート 等,既存,こんにちは。ご登録ありがとうございます。～完全ガイドです。
2,間,必要,501,202620501-1.png,質問／あなたは今／こんな悩みを抱えていませんか？,単色（ターコイズ）＋白文字,まず、あなたに質問があります。～こんな悩みを抱えていませんか？
3,間,必要,501,202620501-2.png,毎日必死にSNSやブログを更新しているのに／思ったように集客ができない。,白背景＋水色文字・中央,毎日必死にSNSやブログを更新しているのに、～集客ができない。
4,間,必要,501,202620501-3.png,売上が上がったけれど、その分、クライアント対応で忙しくなって／土日も休めない状態に陥っている。,白背景＋水色文字・中央,売上が上がったけれど、～土日も休めない状態に陥っている。
5,間,必要,501,202620501-4.png,もし自分が病気で倒れたら、／来月の収入がゼロになってしまうという不安,白背景＋水色文字・中央,もし自分が病気で倒れたら、～という不安。
6,間,必要,501,202620501-5.png,もし、これらに一つでも当てはまるなら、あなたは今、危険な働き方をしている＋3つの悩みをボックスで表示,白背景＋黒タイトル＋3つの青ボックス,もし、これらに一つでも当てはまるなら、～危険な働き方をしているということになっています。
7,間,必要,501,202620501-6.png,疑問／なぜこんなに頑張っているのに／時間的な余裕が生まれないんでしょうか？,単色（ターコイズ）＋白文字,なぜこんなに頑張っているのに、～生まれないんでしょうか？
8,間,必要,501,202620501-7.png,答えは、すごくシンプルです,白背景＋水色文字・中央,答えは、すごくシンプルです。
9,間,必要,501,202620501-8.png,『労働集約型』／自分の時間を切り売りして稼ぐ／モデルになっているからなんです,単色（ターコイズ）＋白文字,あなたのビジネスモデルが『労働集約型』、～からなんです。
10,間,必要,501,202620501-9.png,1日は24時間／体はひとつ／収入と時間の限界,白背景＋水色文字・中央,これだと、売上を2倍に～天井にぶつかってしまうんです。
11,タイトル,不要（既存）,502,202620502.png,（既存）ハムスター状態からの脱却 等,既存,永遠に回し車を走り続けるハムスターのような状態ですね。～抜け出せるのか？
12,間,必要,502,202620502-1.png,ゴール／自分自身が馬車馬のように／働き続けることではない,白背景＋水色文字・中央,私たち個人起業家が目指すべきゴールというのは、～働き続けることではないんです。
13,間,必要,502,202620502-2.png,24時間365日／文句一つ言わずに働き続け／売上を作ってくれる『仕組み』,単色（ターコイズ）＋白文字,自分が寝ている間でも、～仕組みを持つことなんですね。
14,タイトル,不要（既存）,503,202620503.png,（既存）インターネット上の自動販売機 等,既存,言い換えるなら、～『自動販売機』を設置するということです。
15,間,必要,503,202620503-1.png,手に入る「3つの自由」／1.時間的な自由／2.精神的な自由／3.場所的な自由,白背景＋黒タイトル＋複数ボックス,その仕組みを持つことができれば、～旅行先のホテルでも仕事ができます。
