Chapter-Page,Template,Prompt
1,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  [Character Reference] [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David [Ref: REF_IMG_2] :: Cursor  [Visual Direction] Panel 1: Alex [Ref: REF_IMG_1] receives a message from David [Ref: REF_IMG_3] on his phone. Panel 2: Alex is at his desk, downloading Cursor and opening it for the first time. Panel 3: The Cursor [Ref: REF_IMG_2] mascot appears on the screen in the Chat panel as Alex pastes his code and asks a question.  [Target Text] David (text message): Hey Alex! Try Cursor IDE. You can ask about your specific code, and it'll explain exactly what's wrong and how to fix it. Alex (thinking): Looks like VS Code, but there's a Chat panel on the right... Alex: Why does this error happen? Cursor: The error occurs because len(numbers) returns 0 when the list is empty. Here's how to fix it: [code and explanation]  [Text Part - Bottom of Page] What You'll Learn in This Chapter: This isn't just an introduction?you'll learn how to actually use Cursor's three main features: - Chat: Ask questions about code and get instant explanations - Tab: Get intelligent code suggestions as you type - Composer: Describe what you want and build entire features By the end of this chapter, you'll understand not only what Cursor is, but how to use it to solve real coding problems."
2,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  [Character Reference] [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David [Ref: REF_IMG_2] :: Cursor  [Heading] - Section: 1.1 Chat - Your Coding Tutor  [Visual Direction] Setting: Alex's apartment. Cursor open with Chat panel visible. Panel 1: David [Ref: REF_IMG_3] appears via video call on Alex's [Ref: REF_IMG_1] screen, showing Alex the Chat panel. Panel 2: Close-up of Chat interface showing the chat input box at bottom, previous conversation history, and code examples in responses. Panel 3: Alex [Ref: REF_IMG_1] types their first question, highlighting the calculate_average function.  [Target Text] David: """"See this Chat panel? This is where you ask questions about your code."""" David: """"It's like having a tutor who can see your entire project."""" Alex (typing): What does this function do? Alex (selecting code): [Highlights calculate_average function] Cursor: This function calculates the average of a list of numbers. Here's how it works: [detailed explanation]"
3,infographic_page,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  [Character Reference] [Ref: REF_IMG_2] :: Cursor  [Heading] - Section: Cursor Chat: How It Works  [Visual Direction] A clean, structured infographic layout showing a flow diagram. Four main steps are illustrated: 1. Select Code (Visual of highlighting code) - Optional step. 2. Type Your Question (Visual of chat input box) - Use plain English, no technical jargon. 3. Cursor Analyzes (Cursor [Ref: REF_IMG_2] looking at files) - Reads selected code, understands project context, considers related files. 4. Get Detailed Answer (Visual of a code block with comments) - Explanation of what the code does, why it works (or doesn't), how to fix errors, code examples with comments. The style is modern and professional with clear visual flow.  [Target Text] Cursor Chat: How It Works 1. Select Code (Optional)    Ñ§Ñü Highlight the code you want to ask about 2. Type Your Question    Ñ§Ñü Use plain English, no technical jargon 3. Cursor Analyzes    Ñ•Ñü Reads your selected code    Ñ•Ñü Understands project context    Ñ§Ñü Considers related files 4. Get Detailed Answer    Ñ•Ñü Explanation of what the code does    Ñ•Ñü Why it works (or doesn't)    Ñ•Ñü How to fix errors    Ñ§Ñü Code examples with comments"
4,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: Opening Scene: Anxiety About Installation  **[Visual Direction]** Panel 1: Alex [Ref: REF_IMG_1] sitting at his desk, opening his laptop. He looks at his phone with a puzzled expression. A text message bubble is visible. Panel 2: A video call window pops up on the laptop screen. David [Ref: REF_IMG_3] appears, waving hello. Alex looks relieved. Panel 3: Close up on David's face in the screen, explaining with a finger raised.  **[Target Text]** Panel 1 Text (Message): """"Let's install Cursor! The official website is cursor.sh."""" Panel 1 Alex (Thinking): """"Is it a browser tool? Do I need to install it?""""  Panel 2 David: """"Actually, Cursor isn't a cloud app you use in a browser?it's a local application, just like VS Code."""" Panel 2 Alex: """"Oh! So I install it directly on my PC.""""  Panel 3 David: """"Click the Download button on the official website (cursor.sh)."""" Panel 3 David: """"It will automatically download the version that matches your OS. It automatically detects whether you're on Mac or Windows, so you don't need to choose."""" Panel 3 Alex: """"That sounds simple! Let me download it right away."""""
5,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: 2.2 First Launch and Initial Setup  **[Visual Direction]** Panel 1: View of the Cursor """"Welcome"""" screen. A big """"Sign Up / Log In"""" button is visible. Panel 2: Alex [Ref: REF_IMG_1] is typing on his keyboard. A browser window shows the login options. Panel 3: Alex looks back at David [Ref: REF_IMG_3] on the call.  **[Target Text]** Panel 1 David: """"First, you need to create an account or log in with an existing account. Cursor is free to use, so don't worry."""" Panel 1 Alex: """"Should I create an account?""""  Panel 2 Alex clicks the """"Sign Up"""" button. Panel 2 David: """"Enter your email address and password to create an account."""" Panel 2 David: """"You can also log in with your GitHub or Google account.""""  Panel 3 Alex: """"Account creation complete! What's next?"""" Panel 3 David: """"Next is API key setup. Without this, you can't use the Chat feature."""""
6,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: Setting Up API Keys  **[Visual Direction]** Panel 1: Close up of the Cursor Settings menu. Alex's hand pressing `Cmd + ,` (Mac) / `Ctrl + ,` (Win). Panel 2: The """"API Keys"""" tab is selected on screen. Alex looks confused. Panel 3: David [Ref: REF_IMG_3] holds up two cards, one saying """"Anthropic (Claude)"""" and one """"OpenAI (GPT)"""".  **[Target Text]** Panel 1 David: """"To open Settings, press `?+,` (Mac) or `Ctrl+,` (Windows), or select Settings from the menu bar.""""  Panel 2 Alex opens Settings Å® API Keys. Panel 2 David: """"The API Keys screen is open. Here, you set up your Claude API key or OpenAI API key."""" Panel 2 David: """"Cursor supports both Claude and GPT."""" Panel 2 Alex: """"What's an API key? Where do I get it?""""  Panel 3 David: """"An API key is an authentication key for using AI services."""" Panel 3 David: """"You can get a Claude API key from Anthropic's website and an OpenAI API key from OpenAI's website."""" Panel 3 David: """"There are free plans available, so don't worry."""""
7,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - The Solution: Automation  **[Visual Direction]** Panel 1: David appears on a video call screen on Alex's monitor. He looks encouraging. Panel 2: David explains with a finger raised, proposing a solution. Alex listens intently. Panel 3: Alex leans forward, looking motivated. The """"Purpose"""" is clear to him now.  **[Target Text]** Panel 1 David: """"You can make that easier with code. Let's build a script that appends a one-line entry with a date to a log."""" Panel 1 David: """"Just pass what you did in one line. Since it's something you do daily, saving a little effort makes it easier to maintain."""" Panel 1 Alex: """"Something simple but slightly tedious that I need to do daily?that's exactly it. The purpose is clear.""""  Panel 2 David: """"Let's clarify the **goal**. What we're building is 'a script that appends what you did today in one line to a log'."""" Panel 2 David: """"Input is **what you did** (e.g., `""""Wrote Chapter 3 draft""""`), output is **date + time + that one line** appended to a log file."""" Panel 2 David: """"Just type `python log.py """"something""""` in the terminal."""" Panel 2 Alex: """"Knowing the purpose motivates me. Let's do it."""""
8,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: The Solution Appears  **[Visual Direction]** Panel 1: A video call window pops up on the screen. David [Ref: REF_IMG_3] appears, smiling calmly. Panel 2: David is explaining, holding up a finger. Alex looks surprised and hopeful. Panel 3: Close up on David's face, emphasizing the key concept.  **[Target Text]** David: """"Struggling to find code? You're using the old way."""" David: """"Use Cursor's **Smart Search**. Search by **Meaning**, not just keywords."""" David: """"Ask Chat 'where is the code that appends to the log?' and it will tell you the relevant code."""" David: """"With `@Codebase`, it looks at the entire project, so you don't need to specify files yourself."""""
9,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1], [Ref: REF_IMG_3]  **[Heading]** - Section: Enter Composer  **[Visual Direction]** Panel 1: A video call window pops up. [Ref: REF_IMG_3] (David) appears on screen, smiling confidently. Panel 2: David speaks with a teaching gesture. Alex looks surprised but interested. Panel 3: Alex sits up straight, ready to type. David is explaining the plan.  **[Target Text]** Panel 1 David: """"Don't worry, Alex! Let **Composer** handle that."""" Panel 1 David: """"Just **describe** 'add a feature to display only that day's lines with `python log.py --day 2025-01-21`' and it will suggest the necessary changes."""" Panel 1 David: """"It's a practical version of 'building features just by describing' from Chapter 1."""" Panel 1 Alex: """"I don't have to write everything myself. I want to try it.""""  Panel 2 Alex: """"I want to review how to open Composer first."""" Panel 2 David: """"Let's start with a **review**. Then we'll add **display only that day's lines** to `daily_log`."""""
10,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1], [Ref: REF_IMG_3]  **[Heading]** - Section: Opening Scene ? What to Do?  **[Visual Direction]** Panel 1: Alex [Ref: REF_IMG_1] sitting at his desk in his apartment, looking slightly stuck. On his monitor, the `daily_log` project is open to `log.py`. He is hesitating to type. Panel 2: A video call window pops up on the screen. David [Ref: REF_IMG_3] appears, waving. Panel 3: Close up of Alex explaining his thought process. He gestures to the screen where he wants to add small lines of code manually.  **[Target Text]** Panel 1 Alex: """"How do I write the rest...?"""" Panel 1 Alex (thinking): """"I want to write **small lines** myself rather than having Composer add them. But the next line doesn't come to me right away.""""  Panel 2 David: """"That's where **Tab** comes in. The **code suggestions** from Chapter 1."""" Panel 2 David: """"If you **write a bit of intent**, it suggests the next line or block."""" Panel 2 David: """"The habit of **accepting only good suggestions** and **rejecting with Esc if wrong** is important."""" Panel 2 Alex: """"I want to practice using Tab in `daily_log`.""""  Panel 3 Alex: """"I want to cover from review to tips for accepting/rejecting."""" Panel 3 David: """"First, quickly review **Tab basics**, then **try it specifically in log.py**. Learn **how to get better suggestions** and **accepting/rejecting** while doing it."""""
