取得日,期間開始,期間終了,チャンネル名,チャンネルID,動画タイトル,動画ID,URL,投稿日,公開後日数,累計再生数,期間内再生数,平均視聴時間_秒,平均視聴率_%,累計高評価数,累計コメント数,自動判定
2026-07-17,2026-07-10,2026-07-16,I Entered the Story,UC6eXFB1x8324KleWR7B5RcQ,Samurai Vlog — Bushido: Kenjutsu,0elSXjl4Tkc,https://youtu.be/0elSXjl4Tkc,2026-07-14,3,285,0,0,0,1,0,200再生前後の停滞候補
2026-07-17,2026-07-10,2026-07-16,I Entered the Story,UC6eXFB1x8324KleWR7B5RcQ,They Let the Trojan Horse Inside the Gates #Shorts,-cQ9f04DWow,https://youtu.be/-cQ9f04DWow,2026-07-09,8,38,0,0,0,0,0,要観察
2026-07-17,2026-07-10,2026-07-16,I Entered the Story,UC6eXFB1x8324KleWR7B5RcQ,I Snuck Into an Edo Kitchen Before Battle,E8kfFB6ciOA,https://youtu.be/E8kfFB6ciOA,2026-07-04,13,175,0,0,0,1,0,200再生前後の停滞候補
2026-07-17,2026-07-10,2026-07-16,I Entered the Story,UC6eXFB1x8324KleWR7B5RcQ,The Ninja Who Thought Everyone Was a Master,JW6IGXwJqX8,https://youtu.be/JW6IGXwJqX8,2026-07-02,15,234,0,0,0,0,0,200再生前後の停滞候補
2026-07-17,2026-07-10,2026-07-16,I Entered the Story,UC6eXFB1x8324KleWR7B5RcQ,who wins her?,6Y-QzdoSY9I,https://youtu.be/6Y-QzdoSY9I,2026-07-02,15,4,0,0,0,0,0,要観察
2026-07-17,2026-07-10,2026-07-16,I Entered the Story,UC6eXFB1x8324KleWR7B5RcQ,She Can't Stand the Cold. Three Dogs. One Battle.,ECxf7RZULg4,https://youtu.be/ECxf7RZULg4,2026-06-29,18,0,0,0,0,0,0,要観察
2026-07-17,2026-07-10,2026-07-16,I Entered the Story,UC6eXFB1x8324KleWR7B5RcQ,Three Dogs Tried to Warm Her Up,Yu0eA0HIcAM,https://youtu.be/Yu0eA0HIcAM,2026-06-29,18,2,0,0,0,0,0,要観察
2026-07-17,2026-07-10,2026-07-16,I Entered the Story,UC6eXFB1x8324KleWR7B5RcQ,Did I Choose My Taste—or Did the Algorithm?,dz_jMWSsUNY,https://youtu.be/dz_jMWSsUNY,2026-06-27,20,1,0,0,0,0,0,要観察
2026-07-17,2026-07-10,2026-07-16,I Entered the Story,UC6eXFB1x8324KleWR7B5RcQ,A Geisha’s Morning Was Not What I Expected,GsZJ6cfcfio,https://youtu.be/GsZJ6cfcfio,2026-06-26,21,210,0,0,0,0,0,200再生前後の停滞候補
2026-07-17,2026-07-10,2026-07-16,I Entered the Story,UC6eXFB1x8324KleWR7B5RcQ,The Morning Before a Geisha Leaves Home,nvs1lU3_nXM,https://youtu.be/nvs1lU3_nXM,2026-06-25,22,205,0,0,0,0,0,200再生前後の停滞候補
