Slide,Shot Type,Visual Image Prompt (EN),Corresponding Script (JP)
Slide 1,"Thumbnail Plans (A, B)","### PAGE 1
◆【OUTPUT RULE】FULL COLOR only. NO speech bubbles, NO dialogue, NO text/captions in image. Visual-only panels.
◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: tanaka_ref.jpg
[Ref: REF_IMG_2] :: akari_ref.jpg
◆【STYLE LOCK】Maintain exact same art style as [Ref] and previous slides: same line weight, cel-shading, coloring, and character likeness. No style drift. Consistent professional Japanese manga aesthetic throughout.
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations
◆【BACKGROUND RULE】Background must supplement the explanation: show keywords, data, or icons that match what is being said in the script (e.g. numbers, labels, diagrams). Avoid decorative-only elements.
◆【ABSOLUTE CHARACTER SPEC】:
[Ref: REF_IMG_1] :: Tanaka: (35yo male, average build, sharp jawline, NO boyish face, clean short black hair with forehead visible, wears vibrant blue button-down shirt with top button open and sleeves rolled up, crisp white trousers. NO glasses, NO white coat or jacket.)
[Ref: REF_IMG_2] :: Akari: (26yo female, slender build, long bright honey-brown hair, expressive amber eyes, wears warm yellow or orange knit sweater or elegant blouse.)
◆【SCENE & ATMOSPHERE】: Theme: Keyence's ""Weakness Theory"" & High Income. High contrast, shocking truth atmosphere.
◆【VISUALS & DIALOGUE】:
Panel 1上段: [Thumbnail Plan A: Tanaka [REF_IMG_1] looks confidently at the viewer holding a holographic golden bar labeled ""$200,000"". Background has a futuristic scanner effect.]Panel 2下段: [Thumbnail Plan B: Akari [REF_IMG_2] looks shocked/scared at a holographic clock counting down. Background text: ""NO FREEDOM?"".]◆【DIALOGUE & SFX LIST】: (None - no dialogue or speech bubbles in image)
◆【THE CHARACTER LOCKDOWN】:
- [Ref: REF_IMG_1] Tanaka: (35yo male, blue shirt, white pants, NO GLASSES, NO WHITE COAT. ABSOLUTELY NO variance in appearance.)
- [Ref: REF_IMG_2] Akari: (26yo female, long honey-brown hair, yellow/orange sweater/blouse. ABSOLUTELY NO variance in appearance.)
◆【NEGATIVE PROMPT】(speech bubble, dialogue, text bubble, Japanese text, white coat, glasses, bad anatomy, blurry)

◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 Panels Vertical. Style: Professional Japanese Manga. FULL COLOR only. NO speech bubbles, NO dialogue or text in image.",??????????????????1??????????????????
Slide 2,"Thumbnail Plans (C, D)","### PAGE 2
◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: tanaka_ref.jpg
[Ref: REF_IMG_2] :: akari_ref.jpg
◆【STYLE LOCK】Maintain exact same art style as [Ref] and previous slides: same line weight, cel-shading, coloring, and character likeness. No style drift. Consistent professional Japanese manga aesthetic throughout.
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations
◆【BACKGROUND RULE】Background must supplement the explanation: show keywords, data, or icons that match what is being said in the script (e.g. numbers, labels, diagrams). Avoid decorative-only elements.
◆【ABSOLUTE CHARACTER SPEC】:
[Ref: REF_IMG_1] :: Tanaka: (35yo male, average build, sharp jawline, NO boyish face, clean short black hair with forehead visible, wears vibrant blue button-down shirt with top button open and sleeves rolled up, crisp white trousers. NO glasses, NO white coat or jacket.)
[Ref: REF_IMG_2] :: Akari: (26yo female, slender build, long bright honey-brown hair, expressive amber eyes, wears warm yellow or orange knit sweater or elegant blouse.)
◆【SCENE & ATMOSPHERE】: Theme: Management Logic vs Human Weakness.
◆【VISUALS & DIALOGUE】:
Panel 3上段: [Thumbnail Plan C: Tanaka [REF_IMG_1] pushes a holographic button labeled ""AUTO SUCCESS"". Background shows a complex flowchart.]Panel 4下段: [Thumbnail Plan D: Tanaka [REF_IMG_1] and Akari [REF_IMG_2] back-to-back. Tanaka is smirking confidently, Akari is crying comically with a ""SLACKER"" label above her head.]◆【DIALOGUE & SFX LIST】: (None - no dialogue or speech bubbles in image)
◆【THE CHARACTER LOCKDOWN】:
- [Ref: REF_IMG_1] Tanaka: (35yo male, blue shirt, white pants, NO GLASSES, NO WHITE COAT.)
- [Ref: REF_IMG_2] Akari: (26yo female, long honey-brown hair, yellow/orange sweater/blouse.)
◆【NEGATIVE PROMPT】(speech bubble, dialogue, text bubble, Japanese text, white coat, glasses, bad anatomy, blurry)

◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 Panels Vertical. Style: Professional Japanese Manga. FULL COLOR only. NO speech bubbles, NO dialogue or text in image.",??????????????????2?????????????????
Slide 3,8:9 Stacked (Vertical 16:9x2),"### PAGE 3
◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: tanaka_ref.jpg
[Ref: REF_IMG_2] :: akari_ref.jpg
◆【STYLE LOCK】Maintain exact same art style as [Ref] and previous slides: same line weight, cel-shading, coloring, and character likeness. No style drift. Consistent professional Japanese manga aesthetic throughout.
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations
◆【BACKGROUND RULE】Background must supplement the explanation: show keywords, data, or icons that match what is being said in the script (e.g. numbers, labels, diagrams). Avoid decorative-only elements.
◆【ABSOLUTE CHARACTER SPEC】:
[Ref: REF_IMG_1] :: Tanaka: (35yo male, blue shirt, white pants, NO GLASSES, NO WHITE COAT.)
[Ref: REF_IMG_2] :: Akari: (26yo female, yellow/orange knit, long honey-brown hair.)
◆【SCENE & ATMOSPHERE】: Urelabo Office. Akari's desk is cluttered with snacks and a smartphone showing a video player.
◆【VISUALS & DIALOGUE】:
Panel 5上段: [Akari [REF_IMG_2] is slumped over her desk, face buried in arms, looking defeated. Background: messy desk, phone showing video player, holographic checklist with ""Blog: 0/3"", ""Email: 0/10"" in red.]Panel 6下段: [Tanaka [REF_IMG_1] suddenly leans in from the side, looking at Akari's phone screen with a curious, slightly teasing smile. Akari is startled. Background: same desk with ""Blog: 0/3"" checklist visible.]◆【DIALOGUE & SFX LIST】: (None - no dialogue or speech bubbles in image)
◆【THE CHARACTER LOCKDOWN】:
- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants, NO GLASSES.)
- [Ref: REF_IMG_2] Akari: (Yellow/orange knit.)
◆【NEGATIVE PROMPT】(speech bubble, dialogue, text bubble, Japanese text, white coat, glasses, bad anatomy)

◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 Panels Vertical. Style: Professional Japanese Manga. FULL COLOR only. NO speech bubbles, NO dialogue or text in image.",1 ????????????????????????3?????...? 2 ????????????????????????????????????
Slide 4,8:9 Stacked (Vertical 16:9x2),"### PAGE 4
◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: tanaka_ref.jpg
[Ref: REF_IMG_2] :: akari_ref.jpg
◆【STYLE LOCK】Maintain exact same art style as [Ref] and previous slides: same line weight, cel-shading, coloring, and character likeness. No style drift. Consistent professional Japanese manga aesthetic throughout.
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations
◆【BACKGROUND RULE】Background must supplement the explanation: show keywords, data, or icons that match what is being said in the script (e.g. numbers, labels, diagrams). Avoid decorative-only elements.
◆【ABSOLUTE CHARACTER SPEC】:
[Ref: REF_IMG_1] :: Tanaka: (35yo male, blue shirt, white pants, NO GLASSES, NO WHITE COAT.)
[Ref: REF_IMG_2] :: Akari: (26yo female, yellow/orange knit, long honey-brown hair.)
◆【SCENE & ATMOSPHERE】: Intellectual revelation. Intense lighting focusing on Tanaka.
◆【VISUALS & DIALOGUE】:
Panel 7上段: [Akari [REF_IMG_2] looks up with puppy eyes, looking sad and self-deprecating. Hand on chest. Background: faint icon or text suggesting ""WEAK WILLPOWER"" or ""SELF-BLAME"".]Panel 8下段: [Tanaka [REF_IMG_1] is shown in a close-up, intense and passionate expression. Eyes wide and shining. Background text: ""HUMANS ARE WEAK"".]◆【DIALOGUE & SFX LIST】: (None - no dialogue or speech bubbles in image)
◆【THE CHARACTER LOCKDOWN】:
- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants, NO GLASSES.)
- [Ref: REF_IMG_2] Akari: (Yellow/orange knit.)
◆【NEGATIVE PROMPT】(speech bubble, dialogue, text bubble, Japanese text, white coat, glasses, bad anatomy)

◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 Panels Vertical. Style: Professional Japanese Manga. FULL COLOR only. NO speech bubbles, NO dialogue or text in image.",3 ??????????????????????????????? 4 ??????????????? ???????????Humans are weak...?
Slide 5,8:9 Stacked (Vertical 16:9x2),"### PAGE 5
◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: tanaka_ref.jpg
[Ref: REF_IMG_2] :: akari_ref.jpg
◆【STYLE LOCK】Maintain exact same art style as [Ref] and previous slides: same line weight, cel-shading, coloring, and character likeness. No style drift. Consistent professional Japanese manga aesthetic throughout.
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations
◆【BACKGROUND RULE】Background must supplement the explanation: show keywords, data, or icons that match what is being said in the script (e.g. numbers, labels, diagrams). Avoid decorative-only elements.
◆【ABSOLUTE CHARACTER SPEC】:
[Ref: REF_IMG_1] :: Tanaka: (35yo male, blue shirt, white pants, NO GLASSES, NO WHITE COAT.)
[Ref: REF_IMG_2] :: Akari: (26yo female, yellow/orange knit, long honey-brown hair.)
◆【SCENE & ATMOSPHERE】: Futuristic Business Data background. Holographic city or office building.
◆【VISUALS & DIALOGUE】:
Panel 9上段: [Akari [REF_IMG_2] has a question mark floating near her head, looking confused but intrigued.]Panel 10下段: [Tanaka [REF_IMG_1] gestures grandly towards a holographic projection of a modern high-tech building. Holographic text in air: ""AVG INCOME $200K"" and ""PROFIT 50%"".]◆【DIALOGUE & SFX LIST】: (None - no dialogue or speech bubbles in image)
◆【THE CHARACTER LOCKDOWN】:
- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants, NO GLASSES.)
- [Ref: REF_IMG_2] Akari: (Yellow/orange knit.)
◆【NEGATIVE PROMPT】(speech bubble, dialogue, text bubble, Japanese text, white coat, glasses, bad anatomy)

◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 Panels Vertical. Style: Professional Japanese Manga. FULL COLOR only. NO speech bubbles, NO dialogue or text in image.",5 ???????? ????????????? 6 ?????????????2000????...????????????
Slide 6,8:9 Stacked (Vertical 16:9x2),"### PAGE 6
◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: tanaka_ref.jpg
[Ref: REF_IMG_2] :: akari_ref.jpg
◆【STYLE LOCK】Maintain exact same art style as [Ref] and previous slides: same line weight, cel-shading, coloring, and character likeness. No style drift. Consistent professional Japanese manga aesthetic throughout.
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations
◆【BACKGROUND RULE】Background must supplement the explanation: show keywords, data, or icons that match what is being said in the script (e.g. numbers, labels, diagrams). Avoid decorative-only elements.
◆【ABSOLUTE CHARACTER SPEC】:
[Ref: REF_IMG_1] :: Tanaka: (35yo male, blue shirt, white pants, NO GLASSES, NO WHITE COAT.)
[Ref: REF_IMG_2] :: Akari: (26yo female, yellow/orange knit, long honey-brown hair.)
◆【SCENE & ATMOSPHERE】: High contrast intellectual reveal.
◆【VISUALS & DIALOGUE】:
Panel 11上段: [Akari [REF_IMG_2] leans forward in shock, hands on cheeks. Background abstract shock lines.]Panel 12下段: [Tanaka [REF_IMG_1] snaps his fingers with a confident smile. Bold English text in background: ""WEAKNESS THEORY"".]◆【DIALOGUE & SFX LIST】: (None - no dialogue or speech bubbles in image)
◆【THE CHARACTER LOCKDOWN】:
- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants, NO GLASSES.)
- [Ref: REF_IMG_2] Akari: (Yellow/orange knit.)
◆【NEGATIVE PROMPT】(speech bubble, dialogue, text bubble, Japanese text, white coat, glasses, bad anatomy)

◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 Panels Vertical. Style: Professional Japanese Manga. FULL COLOR only. NO speech bubbles, NO dialogue or text in image.",7 ?????????? ????????????????????????????? 8 ?????????????????????????????
Slide 7,8:9 Stacked (Vertical 16:9x2),"### PAGE 7
◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: tanaka_ref.jpg
[Ref: REF_IMG_2] :: akari_ref.jpg
◆【STYLE LOCK】Maintain exact same art style as [Ref] and previous slides: same line weight, cel-shading, coloring, and character likeness. No style drift. Consistent professional Japanese manga aesthetic throughout.
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations
◆【BACKGROUND RULE】Background must supplement the explanation: show keywords, data, or icons that match what is being said in the script (e.g. numbers, labels, diagrams). Avoid decorative-only elements.
◆【ABSOLUTE CHARACTER SPEC】:
[Ref: REF_IMG_1] :: Tanaka: (35yo male, blue shirt, white pants, NO GLASSES, NO WHITE COAT.)
[Ref: REF_IMG_2] :: Akari: (26yo female, yellow/orange knit, long honey-brown hair.)
◆【SCENE & ATMOSPHERE】: Bright, clean, futuristic Urelabo studio set. Urelabo logo visible on wall.
◆【VISUALS & DIALOGUE】:
Panel 13上段: [Tanaka [REF_IMG_1] stands tall with arms open in a welcoming gesture, smiling broadly. Background wall has ""URELABO"" logo.]Panel 14下段: [Akari [REF_IMG_2] smiles energetically at the camera, making a small fist pump gesture of determination. Background: ""SECRET TO SUCCESS"" or ""20M INCOME"" text/icons.]◆【DIALOGUE & SFX LIST】: (None - no dialogue or speech bubbles in image)
◆【THE CHARACTER LOCKDOWN】:
- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants, NO GLASSES.)
- [Ref: REF_IMG_2] Akari: (Yellow/orange knit.)
◆【NEGATIVE PROMPT】(speech bubble, dialogue, text bubble, Japanese text, white coat, glasses, bad anatomy)

◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 Panels Vertical. Style: Professional Japanese Manga. FULL COLOR only. NO speech bubbles, NO dialogue or text in image.",9 ?????????????? ????????????????????????? 10 ?????????????????? ?????????????...?
Slide 8,8:9 Stacked (Vertical 16:9x2),"### PAGE 8
◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: tanaka_ref.jpg
[Ref: REF_IMG_2] :: akari_ref.jpg
◆【STYLE LOCK】Maintain exact same art style as [Ref] and previous slides: same line weight, cel-shading, coloring, and character likeness. No style drift. Consistent professional Japanese manga aesthetic throughout.
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations
◆【BACKGROUND RULE】Background must supplement the explanation: show keywords, data, or icons that match what is being said in the script (e.g. numbers, labels, diagrams). Avoid decorative-only elements.
◆【ABSOLUTE CHARACTER SPEC】:
[Ref: REF_IMG_1] :: Tanaka: (35yo male, blue shirt, white pants, NO GLASSES, NO WHITE COAT.)
[Ref: REF_IMG_2] :: Akari: (26yo female, yellow/orange knit, long honey-brown hair.)
◆【SCENE & ATMOSPHERE】: Historical context. Silhouette of a wise business man (Takizaki).
◆【VISUALS & DIALOGUE】:
Panel 15上段: [A silhouette or semi-realistic illustration of an older wise man (Takizaki) looking contemplative. Background text: ""2 BANKRUPTCIES"".]Panel 16下段: [Akari [REF_IMG_2] looks surprised, holding up two fingers. ""Twice!?"" expression.]◆【DIALOGUE & SFX LIST】: (None - no dialogue or speech bubbles in image)
◆【THE CHARACTER LOCKDOWN】:
- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants, NO GLASSES.)
- [Ref: REF_IMG_2] Akari: (Yellow/orange knit.)
◆【NEGATIVE PROMPT】(speech bubble, dialogue, text bubble, Japanese text, white coat, glasses, bad anatomy)

◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 Panels Vertical. Style: Professional Japanese Manga. FULL COLOR only. NO speech bubbles, NO dialogue or text in image.",11 ?????????????????????????? 12 ?????2?????? ?????????????????
Slide 9,8:9 Stacked (Vertical 16:9x2),"### PAGE 9
◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: tanaka_ref.jpg
[Ref: REF_IMG_2] :: akari_ref.jpg
◆【STYLE LOCK】Maintain exact same art style as [Ref] and previous slides: same line weight, cel-shading, coloring, and character likeness. No style drift. Consistent professional Japanese manga aesthetic throughout.
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations
◆【BACKGROUND RULE】Background must supplement the explanation: show keywords, data, or icons that match what is being said in the script (e.g. numbers, labels, diagrams). Avoid decorative-only elements.
◆【ABSOLUTE CHARACTER SPEC】:
[Ref: REF_IMG_1] :: Tanaka: (35yo male, blue shirt, white pants, NO GLASSES, NO WHITE COAT.)
[Ref: REF_IMG_2] :: Akari: (26yo female, yellow/orange knit, long honey-brown hair.)
◆【SCENE & ATMOSPHERE】: Call To Action. Engaging.
◆【VISUALS & DIALOGUE】:
Panel 17上段: [Tanaka [REF_IMG_1] points directly at the ""camera"" (viewer), looking serious and inviting. Background text: ""STOP BLAMING WILLPOWER"" or ""WATCH TO LEARN"".]Panel 18下段: [Tanaka [REF_IMG_1] and Akari [REF_IMG_2] together. Akari points to a holographic ""SUBSCRIBE"" button floating in the air.]◆【DIALOGUE & SFX LIST】: (None - no dialogue or speech bubbles in image)
◆【THE CHARACTER LOCKDOWN】:
- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants, NO GLASSES.)
- [Ref: REF_IMG_2] Akari: (Yellow/orange knit.)
◆【NEGATIVE PROMPT】(speech bubble, dialogue, text bubble, Japanese text, white coat, glasses, bad anatomy)

◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 Panels Vertical. Style: Professional Japanese Manga. FULL COLOR only. NO speech bubbles, NO dialogue or text in image.",14 ???????????????????????????????????????...??????????????????????????
Slide 10,8:9 Stacked (Vertical 16:9x2),"### PAGE 10
◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: tanaka_ref.jpg
[Ref: REF_IMG_2] :: akari_ref.jpg
◆【STYLE LOCK】Maintain exact same art style as [Ref] and previous slides: same line weight, cel-shading, coloring, and character likeness. No style drift. Consistent professional Japanese manga aesthetic throughout.
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations
◆【BACKGROUND RULE】Background must supplement the explanation: show keywords, data, or icons that match what is being said in the script (e.g. numbers, labels, diagrams). Avoid decorative-only elements.
◆【ABSOLUTE CHARACTER SPEC】:
[Ref: REF_IMG_1] :: Tanaka: (35yo male, blue shirt, white pants, NO GLASSES, NO WHITE COAT.)
[Ref: REF_IMG_2] :: Akari: (26yo female, yellow/orange knit, long honey-brown hair.)
◆【SCENE & ATMOSPHERE】: Philosophical debate. Visualizing Good vs Evil.
◆【VISUALS & DIALOGUE】:
Panel 19上段: [Tanaka [REF_IMG_1] holds his hands out like a scale. Above one hand is an angel icon, above the other a devil icon. English text: ""GOOD vs EVIL"".]Panel 20下段: [Akari [REF_IMG_2] looks thoughtful, finger on chin, looking upwards. Background: same scale motif with angel/devil icons or ""GOOD vs EVIL"" text so the philosophical choice is visible.]◆【DIALOGUE & SFX LIST】: (None - no dialogue or speech bubbles in image)
◆【THE CHARACTER LOCKDOWN】:
- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants, NO GLASSES.)
- [Ref: REF_IMG_2] Akari: (Yellow/orange knit.)
◆【NEGATIVE PROMPT】(speech bubble, dialogue, text bubble, Japanese text, white coat, glasses, bad anatomy)

◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 Panels Vertical. Style: Professional Japanese Manga. FULL COLOR only. NO speech bubbles, NO dialogue or text in image.",15 ????????????????????????????????????????????????? 16 ?????????????????????????
